SampleID	WellPositionFromJingxin	NewLayoutWellPosition	BioRep	Plate	Treatment	R1	R2
NewMolecule.A01-1	A01	H01	1	1	A01	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H1_S8_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H1_S8_R2_001.fastq.gz
NewMolecule.A02-1	A02	G01	1	1	A02	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G1_S7_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G1_S7_R2_001.fastq.gz
NewMolecule.A03-1	A03	F01	1	1	A03	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F1_S6_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F1_S6_R2_001.fastq.gz
NewMolecule.A04-1	A04	E01	1	1	A04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E1_S5_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E1_S5_R2_001.fastq.gz
NewMolecule.A05-1	A05	D01	1	1	A05	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D1_S4_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D1_S4_R2_001.fastq.gz
NewMolecule.A06-1	A06	C01	1	1	A06	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C1_S3_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C1_S3_R2_001.fastq.gz
NewMolecule.A07-1	A07	B01	1	1	A07	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B1_S2_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B1_S2_R2_001.fastq.gz
NewMolecule.A08-1	A08	A01	1	1	A08	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A1_S1_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A1_S1_R2_001.fastq.gz
NewMolecule.A09-1	A09	H05	1	1	A09	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H5_S40_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H5_S40_R2_001.fastq.gz
NewMolecule.A10-1	A10	G05	1	1	A10	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G5_S39_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G5_S39_R2_001.fastq.gz
NewMolecule.A11-1	A11	F05	1	1	A11	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F5_S38_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F5_S38_R2_001.fastq.gz
NewMolecule.A12-1	A12	E05	1	1	A12	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E5_S37_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E5_S37_R2_001.fastq.gz
NewMolecule.B01-1	B01	H02	1	1	B01	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H2_S16_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H2_S16_R2_001.fastq.gz
NewMolecule.B02-1	B02	G02	1	1	B02	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G2_S15_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G2_S15_R2_001.fastq.gz
