Cmpd	EC50	CC50
SMSM1	0.625	20
SMSM2	0.625	20
SMSM3	10	20
SMSM4	5	20
SMSM5	1.25	20
SMSM6	2.5	20
SMSM7	2.5	20
SMSM8	5	10
SMSM10	0.15	20
SMSM11	0.6	20
SMSM12	5	20
SMSM13	0.15	20
SMSM15	0.15	20
SMSM16	20	20
SMSM17	1.25	5
SMSM18	5	20
SMSM19	5	10
SMSM20	5	10
SMSM21	2.5	10
SMSM22	2.5	10
SMSM23	1.25	20
SMSM24	0.6	20
SMSM25	0.6	20
SMSM26	2.5	10
SMSM27	1.25	20
SMSM28	0.6	20
SMSM29	0.6	10
SMSM30	2.5	20
SMSM31	0.6	20
SMSM32	1.25	20
SMSM33	1.25	20
SMN-C2-1	1.25	20
SMN-C2NH	0.6	20
C2-A-NH	1.25	20
C2-A-NMe	0.6	20
SMN-C3	5	20
SMN-C5	2.5	20
C5-AD-1	10	20
C5-AD-2	5	20
C5-AD-3	10	20
C5-AD-4	5	20
C5-AD-5	2.5	20
C2-C5-1	0.15	2.5
C2-C5-2	1.25	20
Risdiplam	2.5	20
Py	10	20
4F-Py	5	20
C2NH-3-Me	2.5	5
ZT-SM1	0.15	20
ZT-SM2	0.15	20
ZCT-SM2-Me	10	20
ZCT-A8	10	20
ZCT-A10	0.6	5
ZCT-A13	10	20
ZCT-A14	10	20
ZCT-A16	20	20
ZCT-COUMA	10	20
